oribias,sd,swaprate,guessrate,orientation,subjects,ori_quad,confbias,conf,conresol,confbias_w_swap,orthopoly_L,orthopoly_Q,id 
-6.544,19.408,0.176,0.117,2nd,12,4,0.279877541,-0.139595127,0.14292475,0.288251449,-0.3585686,-0.1091089,id _12
-9.477,17.944,0.083,0.115,3rd,12,9,-0.156528027,0.310835806,0.287281771,-0.129040449,-0.1195229,-0.4364358,id _12
-6.739,20.73,0.102,0.046,4th,12,16,0.119115351,0.077680366,0.021901863,0.140297619,0.1195229,-0.4364358,id _12
-4.802,19.032,0.197,0.034,5th,12,25,0.015804632,-0.09671886,0.124804479,0.01835875,0.3585686,-0.1091089,id _12
-4.845,18.152,0.021,0.329,6th,12,36,-0.079615952,-0.07759192,0.126398469,-0.071631251,0.5976143,0.5455447,id _12
1.472,10.901,0.236,0.47,1st,13,1,0.115974925,0.042140154,0.194510462,0.390330016,-0.5976143,0.5455447,id _13
10.593,15.253,0.17,0.165,2nd,13,4,0.086881661,-0.036193458,0.041902437,0.120516304,-0.3585686,-0.1091089,id _13
2.504,15.623,0.031,0.381,3rd,13,9,-0.144526601,-0.115769145,0.101792129,-0.173003665,-0.1195229,-0.4364358,id _13
-11.796,26.136,0.096,0.013,4th,13,16,0.043979298,0.178799144,0.002405019,-0.036236289,0.1195229,-0.4364358,id _13
-10.664,20.792,0.156,0.01,5th,13,25,-0.067770172,-0.033264373,0.277962542,-0.169658745,0.3585686,-0.1091089,id _13
-20.91,12.371,0.001,0.67,6th,13,36,-0.03453911,-0.035712323,0.159599564,-0.038627064,0.5976143,0.5455447,id _13
2.436,10.014,0.003,0.027,1st,14,1,-0.06509255,-0.448198153,0.402608085,-0.06817131,-0.5976143,0.5455447,id _14
-5.062,9.238,0.019,0.191,2nd,14,4,-0.081693266,-0.119519677,0.570054928,0.015217265,-0.3585686,-0.1091089,id _14
-2.203,19.534,0.06,0.023,3rd,14,9,0.072704241,0.11334679,0.566430927,-0.040524015,-0.1195229,-0.4364358,id _14
0.859,10.564,0.091,0.269,4th,14,16,0.053573611,0.119662029,0.592336666,0.018184388,0.1195229,-0.4364358,id _14
-3.087,15.484,0.181,0.012,5th,14,25,-0.027223387,0.125068455,0.502033936,-7.31E-05,0.3585686,-0.1091089,id _14
-1.85,13.513,0.028,0.353,6th,14,36,0.047731351,0.209640556,0.506653606,0.084092465,0.5976143,0.5455447,id _14
7.73,25.142,0.27,0.009,1st,15,1,0.298685051,0.151658902,0.148085904,0.216535017,-0.5976143,0.5455447,id _15
29.998,20.897,0.48,0.192,2nd,15,4,0.136174448,-0.123028337,0.252351131,0.111407727,-0.3585686,-0.1091089,id _15
-1.06,28.239,0.218,0.018,3rd,15,9,-0.057008127,0.034511943,0.199031476,0.043997972,-0.1195229,-0.4364358,id _15
-6.542,26.447,0.106,0.056,4th,15,16,-0.169703556,0.002621458,0.194366144,-0.151467551,0.1195229,-0.4364358,id _15
-15.332,26.217,0.001,0.13,5th,15,25,-0.071595213,0.100502385,0.155354785,-0.050236525,0.3585686,-0.1091089,id _15
-18.763,17.423,0,0.311,6th,15,36,-0.136552603,-0.166266351,0.102819503,-0.122330827,0.5976143,0.5455447,id _15
-3.538,14.204,0.121,0.003,1st,16,1,0.302260557,-0.087033608,0.211443776,0.390091043,-0.5976143,0.5455447,id _16
10.822,23.082,0.081,0.074,2nd,16,4,-0.122578744,-0.042885776,0.416070523,-0.126220526,-0.3585686,-0.1091089,id _16
-0.089,17.868,0.059,0.227,3rd,16,9,-0.164861862,-0.001260368,0.190671119,-0.191579508,-0.1195229,-0.4364358,id _16
5.325,16.947,0.008,0.295,4th,16,16,0.049215794,0.065156258,0.274836387,0.0326836,0.1195229,-0.4364358,id _16
-5.601,19.947,0.153,0.01,5th,16,25,-0.02995502,0.032044851,0.106189269,-0.053889587,0.3585686,-0.1091089,id _16
-14.556,21.436,0.103,0.158,6th,16,36,-0.034080725,0.033978642,0.069926105,-0.050238125,0.5976143,0.5455447,id _16
5.52,15.437,0.173,0.01,1st,17,1,0.085941134,0.14317536,0.068354084,0.18699757,-0.5976143,0.5455447,id _17
-3.887,14.712,0.091,0.003,2nd,17,4,0.169451593,-0.278905128,0.295650296,0.194079966,-0.3585686,-0.1091089,id _17
-1.549,16.241,0.124,0.004,3rd,17,9,-0.006486831,-0.058093079,0.055233854,-0.075705716,-0.1195229,-0.4364358,id _17
-1.972,12.905,0.09,0.074,4th,17,16,-0.105363887,-0.03812592,0.337412643,-0.210004134,0.1195229,-0.4364358,id _17
-9.652,17.73,0.001,0.018,5th,17,25,-0.112283877,0.065907117,0.126554636,-0.069229326,0.3585686,-0.1091089,id _17
-10.147,11.258,0.062,0.321,6th,17,36,-0.031258132,0.16604165,0.155062123,-0.018927885,0.5976143,0.5455447,id _17
